ecosystem,mapcode,bioregion,biome,threat_status,protection_level
Aggeneys Gravel Vygieveld,SKr19,Richtersveld Bioregion,Succulent Karoo,Least Concern,Not Protected
Agter-Sederberg Shrubland,SKv3,Rainshadow Valley Karoo Bioregion,Succulent Karoo,Least Concern,Poorly Protected
Agulhas Limestone Fynbos,FFl1,South Coast Fynbos Bioregion,Fynbos,Critically Endangered,Poorly Protected
Agulhas Sand Fynbos,FFd7,South Coast Fynbos Bioregion,Fynbos,Critically Endangered,Moderately Protected
Albany Alluvial Vegetation,AZa6,Alluvial Vegetation,Azonal Vegetation,Endangered,Poorly Protected
Albany Arid Thicket,AT15,Albany Thicket,Albany Thicket,Least Concern,Poorly Protected
Albany Bontveld,AT16,Albany Thicket,Albany Thicket,Least Concern,Poorly Protected
Albany Broken Veld,NKl4,Lower Karoo Bioregion,Nama-Karoo,Least Concern,Moderately Protected
Albany Mesic Thicket,AT17,Albany Thicket,Albany Thicket,Least Concern,Moderately Protected
Albany Valley Thicket,AT18,Albany Thicket,Albany Thicket,Least Concern,Moderately Protected
Albertinia Sand Fynbos,FFd9,South Coast Fynbos Bioregion,Fynbos,Least Concern,Poorly Protected
Alexander Bay Coastal Duneveld,Dn1,Southern Namib Desert Bioregion,Desert,Endangered,Not Protected
Algoa Sandstone Fynbos,FFs29,Eastern Fynbos-Renosterveld Bioregion,Fynbos,Critically Endangered,Poorly Protected
Aliwal North Dry Grassland,Gh2,Dry Highveld Grassland Bioregion,Grassland,Least Concern,Not Protected
Amathole Mistbelt Grassland,Gd2,Drakensberg Grassland Bioregion,Grassland,Least Concern,Not Protected
Amathole Montane Grassland,Gd1,Drakensberg Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Amersfoort Highveld Clay Grassland,Gm13,Mesic Highveld Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Andesite Mountain Bushveld,SVcb11,Central Bushveld Bioregion,Savanna,Least Concern,Moderately Protected
Anenous Plateau Shrubland,SKr15,Richtersveld Bioregion,Succulent Karoo,Least Concern,Not Protected
Atlantis Sand Fynbos,FFd4,Southwest Fynbos Bioregion,Fynbos,Endangered,Poorly Protected
Auob Duneveld,SVkd3,Kalahari Duneveld Bioregion,Savanna,Least Concern,Well Protected
Barberton Montane Grassland,Gm17,Mesic Highveld Grassland Bioregion,Grassland,Least Concern,Well Protected
Barberton Serpentine Sourveld,SVl13,Lowveld Bioregion,Savanna,Least Concern,Well Protected
Basotho Montane Shrubland,Gm5,Mesic Highveld Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Baviaans Valley Thicket,AT19,Albany Thicket,Albany Thicket,Least Concern,Well Protected
Baviaanskloof Shale Renosterveld,FRs18,Eastern Fynbos-Renosterveld Bioregion,Fynbos,Least Concern,Well Protected
Bedford Dry Grassland,Gs18,Sub-Escarpment Grassland Bioregion,Grassland,Least Concern,Not Protected
Besemkaree Koppies Shrubland,Gh4,Dry Highveld Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Bethelsdorp Bontveld,AT20,Albany Thicket,Albany Thicket,Vulnerable,Not Protected
Bhisho Thornveld,SVs7,Sub-Escarpment Savanna Bioregion,Savanna,Least Concern,Not Protected
Bloemfontein Dry Grassland,Gh5,Dry Highveld Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Bloemfontein Karroid Shrubland,Gh8,Dry Highveld Grassland Bioregion,Grassland,Least Concern,Moderately Protected
Blombos Strandveld,FS8,South Strandveld Bioregion,Fynbos,Least Concern,Moderately Protected
Blouputs Karroid Thornveld,NKb2,Bushmanland Bioregion,Nama-Karoo,Least Concern,Well Protected
Bokkeveld Sandstone Fynbos,FFs1,Northwest Fynbos Bioregion,Fynbos,Least Concern,Poorly Protected
Boland Granite Fynbos,FFg2,Southwest Fynbos Bioregion,Fynbos,Endangered,Well Protected
Breede Alluvium Fynbos,FFa2,Southwest Fynbos Bioregion,Fynbos,Endangered,Poorly Protected
Breede Alluvium Renosterveld,FRa1,East Coast Renosterveld Bioregion,Fynbos,Endangered,Not Protected
Breede Quartzite Fynbos,FFq4,Southwest Fynbos Bioregion,Fynbos,Least Concern,Poorly Protected
Breede Sand Fynbos,FFd8,Southwest Fynbos Bioregion,Fynbos,Vulnerable,Poorly Protected
Breede Shale Fynbos,FFh4,Southwest Fynbos Bioregion,Fynbos,Endangered,Moderately Protected
Breede Shale Renosterveld,FRs8,East Coast Renosterveld Bioregion,Fynbos,Endangered,Poorly Protected
Buffels Mesic Thicket,AT21,Albany Thicket,Albany Thicket,Least Concern,Poorly Protected
Buffels Valley Thicket,AT22,Albany Thicket,Albany Thicket,Critically Endangered,Not Protected
Bushmanland Arid Grassland,NKb3,Bushmanland Bioregion,Nama-Karoo,Least Concern,Not Protected
Bushmanland Basin Shrubland,NKb6,Bushmanland Bioregion,Nama-Karoo,Least Concern,Not Protected
Bushmanland Inselberg Shrubland,SKr18,Richtersveld Bioregion,Succulent Karoo,Least Concern,Not Protected
Bushmanland Sandy Grassland,NKb4,Bushmanland Bioregion,Nama-Karoo,Least Concern,Not Protected
Bushmanland Vloere,AZi5,Inland Saline Vegetation,Azonal Vegetation,Least Concern,Not Protected
Canca Limestone Fynbos,FFl3,South Coast Fynbos Bioregion,Fynbos,Least Concern,Not Protected
Cape Flats Dune Strandveld,FS6,West Strandveld Bioregion,Fynbos,Endangered,Moderately Protected
Cape Flats Sand Fynbos,FFd5,Southwest Fynbos Bioregion,Fynbos,Critically Endangered,Not Protected
